Section;Fonctionnalité;Description;Bénéfice Client;Type
Header/Footer;Logo et branding;Logo cliquable retour accueil avec variantes par thème;Identité;Global
Header/Footer;Navigation principale;Menu déroulant Acheter Vendre Spécialités À propos;Orientation;Global
Header/Footer;Sous-menus avec images;Grille visuelle des spécialités avec photos;Découverte;Global
Header/Footer;Horloge temps réel;Affichage heure locale mise à jour chaque seconde;Repère temporel;Global
Header/Footer;Menu mobile responsive;Sheet navigation avec accordéons;Accessibilité mobile;Global
Header/Footer;Footer informations;Adresse téléphone email réseaux sociaux mentions légales;Contact facile;Global
Accueil;Hero section;Image plein écran avec accroche et CTA;Première impression;Marketing
Accueil;Carrousel prochaines ventes;Slider des ventes à venir avec SaleCard;Découverte rapide;Marketing
Accueil;Planning inline;Timeline 7 jours événements colorés swipe mobile;Vision planning;Gestion
Accueil;Section spécialités;Grille 8 cartes avec images et hover effects;Orientation;Marketing
Accueil;Témoignages carousel;Avis clients en carrousel rotatif;Confiance;Marketing
Services Acheteurs;Guide de l'acheteur;Page manifeste pourquoi acheter aux enchères;Pédagogie;Acheteur
Services Acheteurs;Glossaire des enchères;Définitions accordéon des termes du métier;Éducation;Acheteur
Services Acheteurs;Invitation entrée libre;Section incitant à venir en salle gratuit;Démystification;Acheteur
Services Acheteurs;Éco-responsabilité;Arguments circuit court seconde vie durabilité;Valeurs;Acheteur
Services Acheteurs;Ventes à venir;Liste des prochaines ventes avec filtres;Planification;Acheteur
Services Acheteurs;Ventes passées chronologiques;Résultats par date avec recherche et filtres;Historique;Acheteur
Services Acheteurs;Ventes passées par catégorie IA;Navigation par familles d'objets classifiées IA (voitures sport, mobilier XVIIe, bijoux...);Recherche ciblée;IA Exclusive
Services Acheteurs;Détail d'une vente;Fiche vente avec infos expositions catalogue lots;Information complète;Acheteur
Services Acheteurs;Catalogue en ligne HD;Fiches lots avec photos haute définition zoom galerie multi-images;Expertise à distance;Acheteur
Services Acheteurs;Détail d'un lot;Fiche lot avec images actions estimations description enrichie;Décision éclairée;Acheteur
Services Acheteurs;Ordres d'achat en ligne;Dépôt d'un montant maximum depuis la fiche lot confirmation email;Participation sans présence;Acheteur
Services Acheteurs;Enchères téléphoniques;Formulaire simplifié pour être rappelé pendant la vente live;Enchérir en direct;Acheteur
Services Acheteurs;Ventes Chrono interface;Compte à rebours temps réel barre sticky guide interactif;Ne rien manquer;Acheteur
Services Acheteurs;After-Sale invendus;Consultation et achat des invendus à prix fixe après vente;Seconde chance;Acheteur
Services Acheteurs;Mémorisation de lots;Bouton cœur pour sauvegarder liste avec rappel des dates;Organisation;Acheteur
Services Acheteurs;Paiement en ligne;Calcul auto des frais (25%) paiement sécurisé par carte;Simplicité;Acheteur
Services Acheteurs;RDV enlèvement;Calendrier créneaux réservation en ligne confirmation auto;Gain de temps;Acheteur
Services Acheteurs;Demande d'informations;Formulaire question sur lot (rapport condition provenance);Réassurance;Acheteur
Services Acheteurs;Inscription Interenchères;Lien direct vers inscription à la vente sur Interenchères;Accès direct;Acheteur
Services Vendeurs;Guide du vendeur;Page explicative du processus estimation mise en vente;Pédagogie;Vendeur
Services Vendeurs;Estimation en ligne;Formulaire avec upload photos description dimensions provenance;Contact facile;Vendeur
Services Vendeurs;Journées d'expertise;Calendrier permanences journées spéciales expertises région;Visibilité RDV;Vendeur
Services Vendeurs;Expertises itinérantes;Villes avec dates carrés noir et blanc hover couleur;Proximité;Vendeur
Services Vendeurs;Prise de RDV expertise;Réservation en ligne choix spécialité description préalable;Autonomie;Vendeur
Services Vendeurs;Inventaire à domicile;Page dédiée succession partage déménagement avec formulaire;Service complet;Vendeur
Services Vendeurs;Vendre objet similaire;Bouton sur fiche lot email pré-rempli avec référence lot;Incitation naturelle;Vendeur
Services Vendeurs;Historique prix par catégorie IA;Consultation résultats par famille d'objets classifiée IA;Évaluation marché;IA Exclusive
Calendrier;Vue calendrier unifié;Affichage ventes expositions expertises avec code couleur;Vision claire;Gestion
Calendrier;Filtres par type;Sélection ventes live chrono expositions expertises;Focus;Gestion
Calendrier;Détail événement;Dialog avec infos complètes et liens;Information;Gestion
Espace Client;Authentification;Login inscription reset password gestion session;Sécurité;Compte
Espace Client;Tableau de bord;Vue d'ensemble alertes lots mémorisés ordres adjudications;Vision globale;Compte
Espace Client;Barre de progression;Indicateur de complétude profil newsletter alertes goûts;Gamification;Compte
Espace Client;Gestion des alertes;Création alertes par mots-clés avec validation IA activation/désactivation;Ne rien rater;Compte
Espace Client;Ce que j'aime dialogue Lia;Conversation IA pour cerner préférences profil de goûts;Relation unique;IA Exclusive
Espace Client;Centres d'intérêts;Sélection spécialités newsletter personnalisée;Pertinence;Compte
Espace Client;Liste des favoris;Tous les lots mémorisés triés par vente avec dates et statuts;Organisation;Compte
Espace Client;Suggestions Lia;Grille lots suggérés par IA avec validation et amélioration;Découverte;IA Exclusive
Espace Client;Historique ordres;Liste de tous les ordres déposés lot montant max statut;Suivi;Compte
Espace Client;Historique enchères tél.;Liste demandes enchères téléphoniques confirmation résultat;Traçabilité;Compte
Espace Client;Mes adjudications;Lots remportés avec détails prix frais statut paiement enlèvement;Gestion achats;Compte
Espace Client;Régler mes achats;Interface de paiement bordereaux en attente calcul automatique totaux;Paiement facile;Compte
Espace Client;Programmer enlèvement;Prise de RDV pour récupérer les lots payés créneaux;Autonomie;Compte
Espace Client;Profil 6 étapes;Identité téléphone adresse pièce identité banque sécurité;Complétude;Compte
Espace Client;Documents KYC;Upload pièce d'identité validation bancaire RIB statut vérification;Conformité;Compte
Espace Client;Vie privée et RGPD;Consentements préférences communication droit à l'oubli;Contrôle données;Compte
Espace Client;Newsletter personnalisée;Choix des spécialités fréquence format email/SMS;Pertinence;Compte
Intelligence Artificielle;Dialogue Lia conversationnel;IA formelle proactive choix binaires références culturelles;Expérience unique;IA Exclusive
Intelligence Artificielle;Ton Concierge palace;Vouvoiement Monsieur/Madame NOM références culturelles adaptées;Luxe;IA Exclusive
Intelligence Artificielle;Suggestions personnalisées lots;Sélection automatique lots susceptibles de plaire amélioration continue;Découverte;IA Exclusive
Intelligence Artificielle;Analyse IA des lots;Contexte historique biographie créateur observations visuelles image;Expertise enrichie;IA Exclusive
Intelligence Artificielle;Enrichissement descriptions;Titre plus vendeur description enrichie dimensions formatées;Qualité catalogue;IA Exclusive
Intelligence Artificielle;Validation alertes IA;Évaluation pertinence mots-clés suggestions alternatives si trop vague;Alertes pertinentes;IA Exclusive
Intelligence Artificielle;Analyse d'images;Identification auto styles périodes matériaux depuis photos;Gain de temps;IA Exclusive
Intelligence Artificielle;Questions/Réponses lot 24/7;IA répond aux questions clients sur un lot jour et nuit;Support continu;IA Exclusive
Intelligence Artificielle;Classification lots par familles;Catégorisation auto voitures sport mobilier XVIIe bijoux céramiques etc;Organisation catalogue;IA Exclusive
Intelligence Artificielle;Navigation ventes par catégorie;Accès résultats filtrés par famille d'objets pour acheteurs et vendeurs;Recherche efficace;IA Exclusive
Gestion Ventes;Pages de vente détaillées;Fiche complète par vente informations conditions expositions catalogue;Info complète;Gestion
Gestion Ventes;Sync Interenchères;Import automatique ventes lots mise à jour résultats;Zéro ressaisie;Gestion
Gestion Ventes;Stockage images HD;Photos téléchargées et stockées localement garantir disponibilité;Fiabilité;Gestion
Gestion Ventes;Ventes live;Enchères en salle avec ordres achat et enchères téléphoniques intégrés;Participation élargie;Gestion
Gestion Ventes;Ventes chrono;Enchères en ligne temporisées avec compte à rebours interface dédiée;Flexibilité;Gestion
Gestion Ventes;After-sale gestion;Gestion invendus disponibles achat immédiat après vente;Maximiser ventes;Gestion
Communication;Pages spécialités 11;Bijoux Vins Art moderne Mobilier Céramiques Militaria Mode Collections etc;SEO et expertise;Marketing
Communication;Aventures d'Enchères;Section éditoriale histoires découvertes trouvailles œuvres redécouvertes;Storytelling;Marketing
Communication;La Maison;Présentation de l'étude histoire valeurs équipe permanente experts;Confiance;Marketing
Communication;Région de Talents;Mise en valeur artisans locaux restaurateurs encadreurs joailliers;Ancrage local;Marketing
Communication;Page Contact;Formulaire carte plan accès horaires;Accessibilité;Marketing
Communication;Témoignages clients;Carousel d'avis clients preuve sociale;Confiance;Marketing
Administration CRM;Profils clients CRM;Données collectées lots mémorisés ordres enchères adjudications;Connaissance client;Admin
Administration CRM;Détection d'intérêts;Analyse automatique spécialités préférées fourchettes budgétaires;Ciblage;Admin
Administration CRM;Suivi bordereaux;Liste paiements en attente montants dus statuts relances;Trésorerie;Admin
Administration CRM;Suivi enlèvements;Lots en attente retrait rendez-vous pris confirmations;Logistique;Admin
Administration CRM;Statistiques;Visiteurs pages vues lots consultés taux conversion;Pilotage;Admin
Administration CRM;Multi-tenant;Architecture permettant 200 sites études base unique feature flags branding;Scalabilité;Admin
Edge Functions;taste-interview;Dialogue Lia profil de goûts conversation IA;IA conversationnelle;Backend
Edge Functions;validate-alert-keyword;Validation pertinence mots-clés alertes;IA validation;Backend
Edge Functions;enrich-lot-ai;Enrichissement description lot par IA Gemini;IA enrichissement;Backend
Edge Functions;answer-lot-question;Réponse IA aux questions sur un lot;IA support;Backend
Edge Functions;synthesize-alerts;Synthèse alertes lots correspondants;IA matching;Backend
Edge Functions;classify-lot-category;Classification IA lot par famille objets;IA classification;Backend
Edge Functions;scrape-interencheres;Import données Interenchères;Sync externe;Backend
Edge Functions;hydrate-lot-images;Téléchargement stockage images HD;Gestion média;Backend
